LATIN;Prose;Poetry;Medieval;Total
valeo;19;48;66;133
senex;27;55;50;132
vester;14;33;85;132
gens;24;60;47;131
puto;51;54;26;131
studium;51;16;64;131
publicus;101;13;16;130
secundus;30;22;78;130
equus;30;48;51;129
redeo;47;27;55;129
numquam;34;58;35;127
fugio;28;61;37;126
orbis;12;101;13;126
quisquis;27;57;42;126
gratia;29;22;74;125
itaque;68;3;54;125
quasi;46;6;73;125
regnum;17;52;56;125
relinquo;41;44;39;124
miser;18;74;31;123
dux;29;53;40;122
fortuna;49;58;14;121
igitur;36;17;68;121
simul;35;52;34;121
bene;23;51;45;119
lex;26;69;24;119
littera;38;7;74;119
respondeo;19;5;95;119
aurum;10;60;48;118
cano;4;99;15;118
gero;47;40;31;118
unde;15;34;69;118
fatum;5;108;4;117
honos;29;57;31;117
munus;16;73;28;117
quisquam;48;51;18;117
soleo;33;38;46;117
tres;23;23;71;117
apud;61;5;50;116
civitas;46;2;68;116
fides, -ei;29;56;31;116
laus;33;37;46;116
patria;28;49;39;116
aetas;48;40;25;113
ingenium;47;41;25;113
mons;23;48;42;113
finis;33;47;32;112
parens;17;81;14;112
iter;43;25;43;111
quicumque;22;57;32;111
ratio;47;48;16;111
reddo;26;45;40;111
nosco;8;63;39;110
signum;32;59;19;110
adsum;18;62;29;109
deinde;60;12;37;109
ferus;14;85;10;109
anima;9;48;51;108
licet;25;56;27;108
orior;30;51;27;108
inde;31;27;49;107
melior;25;39;43;107
mereo;11;60;36;107
timeo;19;46;42;107
Caesar;62;31;13;106
ullus;40;53;13;106
plenus;13;42;50;105
usque;12;28;65;105
uterque;32;40;33;105
dignus;22;53;29;104
placeo;21;40;43;104
seu;15;65;24;104
castra;53;25;25;103
fleo;11;70;22;103
levis;25;67;11;103
mundus, n.;8;51;44;103
paro;40;25;38;103
prior;10;24;69;103
propter;22;21;60;103
bibo;2;24;76;102
hora;16;31;55;102
rapio;9;65;28;102
solvo;12;64;25;101
cognosco;31;22;47;100
magister;6;20;74;100
an;42;41;16;99
lumen;10;65;24;99
somnus;18;63;18;99
uxor;26;17;56;99
ordo;27;23;48;98
cado;11;59;27;97
cor;3;34;60;97
morior;17;49;31;97
tristis;10;63;24;97
Venus;3;85;9;97
adeo, v.;33;33;30;96
durus;4;73;19;96
filia;10;7;79;96
parvus;17;64;15;96
praecipio;19;14;63;96
qualis;14;47;35;96
votum;7;72;17;96
contra;20;15;60;95
flumen;27;48;20;95
hinc;14;56;25;95
Iuppiter;10;73;12;95
surgo;5;40;50;95
disco;16;19;59;94
diu;30;30;34;94
lacrima;8;61;25;94
lux;21;50;23;94
nemo;42;22;30;94
patior;21;36;37;94
periculum;54;12;28;94
silva;6;65;23;94
unda;0;86;8;94
ventus;17;58;19;94
virgo;0;64;29;93
beatus;35;8;49;92
cedo;21;53;18;92
divus;3;89;0;92
dolor;14;43;35;92
felix;13;61;18;92
miror;14;45;33;92
umbra;3;84;5;92
flos;1;71;19;91
mille;36;25;30;91
pius;6;55;30;91
trado;25;18;48;91
gaudeo;7;47;36;90
gloria;26;28;36;90
liber, adj.;37;24;29;90
potis;34;35;21;90
proprius;12;35;43;90
socius;18;25;47;90
spes;38;30;22;90
vultus;17;56;17;90
colo;19;53;17;89
facilis;37;36;16;89
notus;11;62;16;89
exercitus;57;2;29;88
servus;42;2;44;88
carus;8;39;40;87
clarus;18;47;22;87
nolo;14;24;49;87
similis;22;26;39;87
eques;63;12;11;86
imperium;38;21;27;86
ius;25;48;13;86
vivus;19;49;18;86
acies;70;8;7;85
numerus;40;29;16;85
princeps;41;15;29;85
proximus;35;37;13;85
iaceo;14;58;12;84
ops;27;47;10;84
pereo;20;49;15;84
sanguis;14;48;22;84
sidus;5;73;6;84
varius;14;50;20;84
Christus;4;0;79;83
flamma;12;63;8;83
lingua;9;31;43;83
recipio;17;16;50;83
tertius;17;10;56;83
tollo;23;25;35;83
turba;15;56;12;83
aeternus;8;50;23;81
humanus;33;21;27;81
nobilis;16;32;33;81
versus, n.;10;45;26;81
convenio;16;14;50;80
diligo;9;18;53;80
laetus;6;51;23;80
minus;34;28;18;80
nescio;16;25;39;80
premo;9;59;12;80
proelium;51;19;10;80
saeculum;14;39;27;80
vix;16;37;27;80
fama;18;48;13;79
sentio;21;38;20;79
sermo;32;14;33;79
adversus;43;18;17;78
aureus;7;48;23;78
copia;45;11;22;78
mox;22;24;32;78
mulier;7;14;57;78
occido (long i);19;24;35;78
vobis;9;14;55;78
arbor;7;36;34;77
audeo;24;37;16;77
comes;4;44;29;77
decus;7;52;18;77
tener;0;70;7;77
traho;11;34;32;77
campus;13;53;10;76
casus;32;30;14;76
condo;18;54;4;76
ecce;4;23;49;76
latus, adj.;24;35;17;76
monachus;0;0;76;76
pax;11;38;27;76
postquam;34;19;23;76
servo;15;39;22;76
forma;17;40;18;75
imperator;21;0;54;75
liber, n.;16;7;52;75
pervenio;31;8;36;75
plurimus;20;15;40;75
quoniam;16;26;33;75
reperio;22;13;40;75
Roma;19;41;15;75
usus;33;22;20;75
verto;19;31;25;75
abeo;17;28;29;74
adhuc;28;15;31;74
diversus;16;19;39;74
paucus;36;21;17;74
perdo;15;25;34;74
rego;14;35;25;74
ager;23;37;13;73
salus;22;12;39;73
aperio;17;12;43;72
civis;35;14;23;72
contingo;13;24;35;72
inferus;13;40;19;72
permitto;11;27;34;72
praesto, v.;28;22;22;72
vates;0;68;4;72
Gallus;47;17;7;71
sive;16;32;23;71
utor;35;11;25;71
vetus;17;34;20;71
brevis;9;33;28;70
cogo;22;36;12;70
ecclesia;0;0;70;70
par;19;38;13;70
prope;31;24;15;70
quamvis;17;38;15;70
rogo;11;28;31;70
sedeo;7;26;37;70
eligo;9;10;50;69
incipio;17;28;24;69
iterum;13;15;41;69
maritus;11;50;8;69
singulus;27;9;33;69
statim;17;1;51;69
transeo;17;13;39;69
accedo;20;14;34;68
aufero;18;17;33;68
cerno;12;41;15;68
consul;35;29;4;68
cupio;8;34;26;68
gratus;10;40;18;68
huc;7;46;15;68
iuvo;6;50;12;68
maneo;11;36;21;68
mortalis;14;43;11;68
namque;11;26;31;68
pauper;1;20;47;68
poena;15;33;20;68
pulcher;7;44;17;68
tandem;6;24;38;68
coma;1;63;3;67
cur;9;39;19;67
dexter;22;31;14;67
metus;34;26;7;67
niger;4;42;21;67
ostendo;25;11;31;67
quando;9;15;43;67
reliquus;48;1;18;67
saevus;4;56;7;67
sedes;9;41;17;67
canto;0;23;43;66
desero;12;40;14;66
ira;23;23;20;66
membrum;6;42;18;66
nimius;8;24;34;66
numen;2;62;2;66
abbas;0;0;65;65
amnis;9;49;7;65
coniunx;7;53;5;65
contineo;23;18;24;65
ingens;22;28;15;65
item;12;5;48;65
iustus;14;29;22;65
laudo;20;24;21;65
litus;9;46;10;65
nego;26;25;14;65
procul;11;42;12;65
umquam;27;28;10;65
velut;28;20;17;65
avis;4;42;18;64
extremus;17;41;6;64
optimus;25;14;25;64
propero;7;38;19;64
subeo;12;39;13;64
concedo;13;14;36;63
consto;34;13;16;63
cursus;15;38;10;63
fons;4;44;15;63
templum;12;41;10;63
tot;16;37;10;63
vinum;10;11;42;63
confero;33;13;16;62
navis;22;9;31;62
nil;0;36;26;62
tamquam;40;4;18;62
tellus;2;56;4;62
vestis;9;28;25;62
auris;12;30;19;61
cornu;33;22;6;61
deficio;15;25;21;61
dives;8;31;22;61
facies;4;23;34;61
gaudium;3;30;28;61
muto;13;35;13;61
os (ossis);2;38;21;61
probo;19;19;23;61
quomodo;13;0;48;61
divinus;7;16;37;60
pateo;18;29;13;60
Phoebus;0;53;7;60
purus;4;35;21;60
spiritus;5;21;34;60
tectum;15;28;17;60
vulnus;19;28;13;60
aevum;5;52;2;59
candidus;3;44;12;59
fingo;9;33;17;59
iungo;6;46;7;59
officium;13;21;25;59
parco;11;39;9;59
prius;8;17;34;59
quin;18;34;7;59
species;23;23;13;59
sumo;10;26;23;59
absum;17;28;13;58
citus;9;28;21;58
dimitto;11;12;35;58
frango;8;33;17;58
misceo;5;43;10;58
Musa;2;52;4;58
porta;15;19;24;58
valde;7;1;50;58
aura;0;47;10;57
cantus;4;38;15;57
exeo;11;2;44;57
foedus, adj.;8;37;12;57
haud;31;19;7;57
ingredior;11;7;39;57
mollis;3;52;2;57
mundus, adj.;4;34;19;57
murus;10;14;33;57
opto;8;30;19;57
queror;9;45;3;57
quondam;4;39;14;57
secum;10;6;41;57
sinus;8;39;10;57
soror;1;44;12;57
ultimus;14;26;17;57
Alleluia;0;0;56;56
auctor;24;13;19;56
doleo;5;21;30;56
edo (eat);16;27;13;56
funus;7;44;5;56
minor, adj.;17;24;15;56
mortuus;17;4;35;56
respicio;18;18;20;56
sepulcrum;2;42;12;56
tutus;15;31;10;56
amplus;16;11;28;55
circa;23;10;22;55
custos;7;25;23;55
dono;12;27;16;55
erro;8;40;7;55
fidelis;6;9;40;55
foris;4;33;18;55
futurus;25;15;15;55
intellego;21;1;33;55
iugum;7;40;8;55
mecum;11;31;13;55
narro;7;14;34;55
rursus;19;20;16;55
tergum;24;22;9;55
volucer;1;42;12;55
cibus;11;12;31;54
claudo;13;23;18;54
crimen;16;25;13;54
ideo;13;1;40;54
pario;10;36;8;54
pondus;14;30;10;54
prosum;11;30;13;54
saxum;15;33;6;54
scilicet;4;16;34;54
servio;18;9;27;54
sono;7;46;1;54
timor;18;16;20;54
acer;17;22;14;53
aes;5;33;15;53
antiquus;11;22;20;53
cogito;14;6;33;53
curo;13;19;21;53
fallo;18;29;6;53
indico, -are;20;10;23;53
intro;7;7;39;53
luna;5;35;13;53
porto;1;15;37;53
rectus;25;8;20;53
stella;10;23;20;53
agmen;19;20;13;52
comedo;3;0;49;52
communis;18;17;17;52
efficio;22;13;17;52
hymenaeos;0;52;0;52
metuo;11;34;7;52
monasterium;0;0;52;52
nemus;2;43;7;52
pontus;2;50;0;52
reverto;15;8;29;52
rideo;8;33;11;52
veho;7;40;5;52
cresco;10;26;15;51
defero;14;9;28;51
denique;10;25;16;51
divitiae;16;16;19;51
donum;5;28;18;51
exemplum;13;12;26;51
fuga;19;22;10;51
minister;11;15;25;51
mirus;9;17;25;51
moneo;11;29;11;51
nascor;8;40;3;51
pergo;7;3;41;51
praebeo;10;24;17;51
pugno;25;12;14;51
ver;3;28;20;51
aspicio;8;23;19;50
diligens;20;1;29;50
domina;1;35;14;50
donec;11;13;26;50
multitudo;30;0;20;50
poeta;10;31;9;50
prex;9;20;21;50
sapiens;12;6;32;50
vinculum;7;30;13;50
accido;23;3;23;49
aequor;0;46;3;49
aequus;21;23;5;49
alienus;23;13;13;49
astrum;2;45;2;49
canis;2;19;28;49
celer;13;25;11;49
cinis;6;39;4;49
colligo;12;16;21;49
committo;16;12;21;49
dea;1;47;1;49
forem, -es;9;34;6;49
gigno;16;17;16;49
praeter;17;7;25;49
precor;3;37;9;49
recedo;5;13;31;49
retineo;17;17;15;49
ripa;14;28;7;49
sese;26;21;2;49
addo;11;29;8;48
divido;15;11;22;48
Hymen;0;48;0;48
memoria;32;0;16;48
pecco;7;3;38;48
sensus;11;13;24;48
telum;10;34;4;48
vicis;11;23;14;48
victor;12;31;5;48
auxilium;17;8;22;47
caedes;23;19;5;47
celebro;8;15;24;47
compono;12;21;14;47
coram;3;1;43;47
excipio;24;12;11;47
femina;12;23;12;47
gladius;19;5;23;47
Graecus;23;5;19;47
heu;1;28;18;47
hospes;8;21;18;47
impleo;7;17;23;47
invideo;8;29;10;47
mane;3;10;34;47
mora;4;21;22;47
oratio;22;1;24;47
pariter;9;21;17;47
pendo;5;27;15;47
placidus;6;28;13;47
quamquam;29;13;5;47
quare;17;16;14;47
regno;3;18;26;47
vagus;3;41;3;47
affero;21;8;17;46
appareo;12;6;28;46
chorus;0;31;15;46
color;5;30;11;46
ferrum;13;26;7;46
humus;5;32;9;46
infero;21;8;17;46
malo;15;21;10;46
noceo;9;26;11;46
pecunia;26;1;19;46
pietas;5;25;16;46
promitto;12;16;18;46
pugna;27;12;7;46
rumpo;3;40;3;46
rus;0;39;7;46
sapientia;9;6;31;46
scientia;9;0;37;46
supra;18;11;17;46
suscipio;3;6;37;46
tardus;5;31;10;46
vitium;19;8;19;46
contemno;17;15;13;45
converto;17;8;20;45
egredior;14;5;26;45
herba;1;30;14;45
illic;4;29;12;45
interficio;25;0;20;45
irascor;14;16;15;45
leo;1;25;19;45
mensa;4;17;24;45
paulus;30;9;6;45
rarus;9;28;8;45
spatium;21;17;7;45
spero;18;13;14;45
tecum;5;28;12;45
torus;1;40;4;45
utilis;13;10;22;45
vaco;6;18;21;45
vicinus;1;21;23;45
voluptas;14;21;10;45
ardeo;9;29;6;44
caelestis;9;15;20;44
episcopus;0;0;44;44
exspecto;19;12;13;44
fundo, -ere;12;25;7;44
imago;7;28;9;44
prodo;12;19;13;44
supero;11;21;12;44
sustineo;16;15;13;44
tempto;11;22;11;44
vigilo;9;12;23;44
arx;10;22;11;43
careo;3;31;9;43
desum;22;12;9;43
discedo;14;14;15;43
eripio;14;23;6;43
falsus;13;22;8;43
fessus;11;24;8;43
fluo;3;32;8;43
impono;14;20;9;43
instituo;28;5;10;43
mando, -are;11;12;20;43
nuntius;17;9;17;43
ob;16;6;21;43
Pompeius;34;6;3;43
regius;17;7;19;43
scelus;15;24;4;43
taceo;2;23;18;43
tenebrae;5;31;7;43
volo, -are;3;27;13;43
appello, -are;26;2;14;42
ascendo;11;3;28;42
conficio;32;7;3;42
consulo;24;11;7;42
cupido;8;29;5;42
festus;3;25;14;42
historia;11;2;29;42
iudex;16;15;11;42
iuro;14;14;14;42
memoro;9;22;11;42
otium;11;25;6;42
parum;20;9;13;42
potens;8;22;12;42
quiesco;17;13;12;42
semel;3;23;16;42
studeo;11;7;24;42
superbus;6;33;3;42
supersum;23;13;6;42
undique;8;14;20;42
albus;2;17;22;41
amitto;16;14;11;41
angelus;0;0;41;41
comparo;18;6;17;41
damnum;2;16;23;41
decet;8;21;12;41
defendo;18;11;12;41
descendo;9;13;19;41
evado;2;17;22;41
fore;20;9;12;41
integer;13;12;16;41
interrogo;8;0;33;41
intra;18;4;19;41
lapis;5;23;13;41
limen;4;37;0;41
maestus;2;34;5;41
memini;9;30;2;41
plerusque;26;4;11;41
regio;9;14;18;41
spargo;2;34;5;41
sterno;10;19;12;41
ultra;11;12;18;41
armo;13;13;14;40
Augustus;14;18;8;40
cesso;5;20;15;40
confiteor;8;4;28;40
deduco;11;20;9;40
dignitas;25;0;15;40
fructus;14;9;17;40
ignotus;5;28;7;40
imber;3;33;4;40
libens;9;12;19;40
ludo;0;30;10;40
orno;8;18;14;40
oro;12;6;22;40
philosophus;6;2;32;40
praesens;13;6;21;40
procedo;13;11;16;40
revoco;12;18;10;40
sors;5;28;7;40
thesaurus;4;0;36;40
triumphus;4;33;3;40
vacuus;5;25;10;40
aliquando;14;0;25;39
caveo;8;20;11;39
culpa;12;13;14;39
curro;5;19;15;39
custodia;17;2;20;39
decipio;2;14;23;39
dubius;15;16;8;39
fames;8;13;18;39
Francus;0;0;39;39
immensus;5;22;12;39
inimicus;14;5;20;39
iucundus;7;21;11;39
legio;34;4;1;39
magnitudo;29;0;10;39
negligo;12;11;16;39
nimis;4;13;22;39
paene;18;8;13;39
pelagus;2;33;4;39
pretium;9;18;12;39
rusticus;3;17;19;39
turpis;8;26;5;39
amicitia;18;12;8;38
animal;7;8;23;38
aptus;7;17;14;38
arvum;1;35;2;38
augeo;19;16;3;38
benedico;0;0;38;38
castus;3;29;6;38
centum;8;19;11;38
certo, v.;6;25;7;38
clamor;18;9;11;38
digitus;6;19;13;38
existimo;30;0;8;38
fax;4;34;0;38
frequens;8;10;20;38
ignoro;13;3;22;38
intendo;17;5;16;38
Italia;15;4;19;38
iudicium;19;0;19;38
Mars;6;24;8;38
oportet;17;3;18;38
postea;13;1;24;38
praetereo;10;16;12;38
rosa;0;35;3;38
securus;4;26;8;38
tango;2;28;8;38
tendo;2;22;14;38
victoria;22;7;9;38
aether;0;31;6;37
Christianus;10;0;27;37
complector;14;18;5;37
consequor;25;4;8;37
dormio;8;4;25;37
fabula;5;19;13;37
fere;24;2;11;37
forsitan;3;25;9;37
frons, -ntis;9;22;6;37
hiems;9;13;15;37
inanis;2;22;13;37
lacus;10;22;5;37
necessitas;9;3;25;37
nocturnus;10;18;9;37
nomino;6;4;27;37
nudus;9;19;9;37
olim;5;28;4;37
pando;2;24;11;37
potestas;9;11;17;37
praecipuus;11;10;16;37
praedico, -ere;3;6;28;37
pudor;3;30;4;37
requiro;5;12;20;37
sententia;21;3;13;37
sepelio;4;15;18;37
subito;5;15;17;37
Troia;0;25;12;37
turris;8;3;26;37
agito;11;23;2;36
constituo;20;5;11;36
densus;7;23;6;36
frustra;11;22;3;36
hortus;6;12;18;36
induo;6;10;20;36
insignis;7;20;9;36
materia;11;17;8;36
nix;6;24;6;36
perpetuus;12;10;14;36
presbyter;0;0;36;36
principium;16;8;12;36
propono;18;5;13;36
protinus;6;16;14;36
quattuor;4;4;28;36
quo;9;11;16;36
rogus;2;26;8;36
sacerdos;6;10;20;36
Vergilius;2;10;24;36
aeger;13;14;8;35
ales;0;32;3;35
audax;13;15;7;35
Bacchus;1;30;4;35
blandus;3;29;3;35
cingo;7;22;6;35
convivium;7;4;24;35
dirigo;6;5;24;35
exerceo;12;9;14;35
famulus;0;12;23;35
figo;2;21;12;35
imitor;10;12;13;35
improbus;6;20;9;35
instruo;13;5;17;35
Latinus;8;13;14;35
libero;7;4;24;35
memor;6;21;8;35
mitis;3;21;11;35
moenia;7;18;10;35
necessarius;7;0;28;35
negotium;13;6;16;35
universus;18;0;17;35
Apollo;2;17;15;34
Apollonius;0;0;34;34
argentum;4;5;25;34
caecus;3;23;8;34
cohors;26;5;3;34
conor;12;9;13;34
creo;2;23;9;34
experior;10;15;9;34
Gallia;12;3;19;34
iacio;9;18;7;34
impero;16;8;10;34
iuxta;3;4;27;34
laboro;7;12;15;34
linquo;2;31;1;34
minimum;16;7;11;34
obvius;12;12;10;34
ovis;1;16;17;34
panis;5;1;28;34
percutio;3;8;23;34
perficio;12;2;20;34
piscis;0;13;21;34
postulo;9;4;21;34
praemium;17;10;7;34
silentium;10;6;18;34
sollicitus;7;17;10;34
sublimis;6;24;4;34
conspicio;14;7;12;33
curia;7;4;22;33
currus;0;26;7;33
evenio;12;8;13;33
faveo;0;31;2;33
fur;3;2;28;33
furor, n.;1;25;7;33
habito;8;11;14;33
honestus;19;6;8;33
impetus;19;10;4;33
iniuria;19;4;10;33
labor, v.;0;26;7;33
lateo;3;17;13;33
lignum;2;4;27;33
mensis;5;15;13;33
moror;17;16;0;33
offero;7;9;17;33
pello;11;14;8;33
prae;8;3;22;33
pulso;0;19;14;33
quilibet;4;10;19;33
quot;5;15;13;33
regina;0;14;19;33
religio;12;8;13;33
removeo;1;15;17;33
tacitus;1;25;7;33
urgeo;6;22;5;33
uro;6;23;4;33
vanus;5;19;9;33
assiduus;4;21;7;32
barbarus;7;16;9;32
bos;7;15;10;32
clamo;2;11;19;32
cras;0;31;1;32
creber;10;8;14;32
crinis;0;29;3;32
desino;5;22;5;32
error;5;16;11;32
flecto;5;22;5;32
floreo;9;11;12;32
fluctus;4;21;7;32
frigus;7;16;9;32
hodie;5;4;23;32
interim;20;1;11;32
lupus;3;13;16;32
merus;3;22;7;32
moles;3;24;5;32
necesse;17;8;7;32
Nero;22;7;3;32
obeo;6;21;5;32
obtineo;9;1;22;32
odor;2;17;13;32
pecus, -oris;3;25;4;32
poculum;2;19;11;32
profero;7;10;15;32
quinque;6;5;21;32
repeto;16;12;4;32
rudis, adj.;2;26;4;32
sanus;12;8;12;32
senatus;23;9;0;32
sollemnis;4;12;16;32
sonus;5;18;9;32
specto;11;20;1;32
suavis;3;13;16;32
veneror;3;14;15;32
verbero;1;11;20;32
villa;20;2;10;32
voluntas;23;0;9;32
vulgus;9;16;7;32
afficio;10;10;11;31
agnosco;4;6;21;31
arbitror;19;1;11;31
asper;6;18;7;31
Cicero;28;2;1;31
collum;2;21;8;31
desidero;5;6;20;31
egregius;12;12;7;31
fulmen;1;27;3;31
infelix;5;15;11;31
interea;2;17;12;31
latus, n.;10;15;6;31
libellus;7;19;5;31
morbus;8;15;8;31
nubes;6;21;4;31
pingo;3;25;3;31
quippe;10;7;14;31
quotiens;7;22;2;31
ramus;3;21;7;31
remaneo;4;4;23;31
somnium;5;18;8;31
sperno;7;15;9;31
tempero;4;20;7;31
tribuo;8;14;9;31
verso;13;13;5;31
vestigium;9;15;7;31
advenio;6;6;18;30
alo;7;18;5;30
arcus;0;23;7;30
caritas;5;2;23;30
celsus;1;24;5;30
circum;6;21;3;30
collis;10;13;7;30
depono;4;9;17;30
differo;15;9;6;30
dis;13;14;3;30
exsisto;10;2;18;30
exstinguo;11;13;6;30
forum;6;14;10;30
fraus;4;14;12;30
fretum;0;28;2;30
geminus;3;24;3;30
horreo;2;18;10;30
impius;3;26;1;30
io;0;30;0;30
laurus;0;28;2;30
nubo;3;23;4;30
osculum;0;25;5;30
pastor;2;14;14;30
perfero;10;12;8;30
posterus;20;5;5;30
praeda;9;11;10;30
pratum;1;17;12;30
proficio;8;3;19;30
prohibeo;11;12;7;30
pudet;4;21;5;30
rapidus;3;24;3;30
secretus;4;8;18;30
serenus;2;22;6;30
sinister;12;8;10;30
supremus;5;19;6;30
taurus;1;25;4;30
tego;4;25;1;30
tero;5;23;2;30
terreo;12;10;8;30
validus;8;12;10;30
venter;4;2;24;30
vereor;9;14;7;30
viridis;2;24;4;30
capillus;2;22;5;29
captivus;12;4;13;29
comitor;5;10;14;29
crudelis;7;17;5;29
decem;8;6;15;29
disciplina;8;2;19;29
epistula;14;2;13;29
figura;8;14;7;29
finio;7;7;15;29
frigidus;5;17;7;29
gener;2;14;13;29
grandis;4;17;8;29
iacto;13;16;0;29
impello;17;11;1;29
impendeo;10;6;13;29
incertus;11;13;5;29
invidia;11;10;8;29
laedo;1;20;8;29
largus;2;20;7;29
libertas;15;7;7;29
nepos;4;16;9;29
niteo;2;25;2;29
nuntio;11;6;12;29
pareo;9;12;8;29
pasco;4;12;13;29
perago;7;15;7;29
pomum;2;16;11;29
praeficio;11;3;15;29
praeterea;17;10;2;29
quatio;2;26;1;29
ratis;8;21;0;29
reduco;2;13;14;29
reor;11;11;7;29
ruo;5;18;6;29
